	S2	S3-1	S3-2	S4	S6	S7-1	S7-2	S8	S9-1	S9-2	S10	S11	S12	S13	S15	S18	S19	S21	S25	LaSota
S2                             	100	64.3	86.2	55.4	98	93.6	97.5	95.7	48.9	1	40	78.7	80.6	82.1	16.2	95.8	81	81	80.9	97.6
S3-1                           	64.3	100	56.6	42.9	64.9	62.5	64.9	63.8	34.6	0.9	28.8	52.9	53	54.3	11.2	63.6	53.6	53.6	53.5	64.6
S3-2                           	86.2	56.6	100	51.1	87.6	89.7	87.2	86	44	1	37.1	73.6	74.5	75.7	15.1	86.4	74.4	74.4	74.4	87.3
S4                             	55.4	42.9	51.1	100	55.4	52.9	55.4	54.7	29.6	0	24.2	44.1	44.9	46.3	6.4	54.6	46.1	46.1	46.1	55.2
S6                             	98	64.9	87.6	55.4	100	95.3	99.1	97.3	49.2	1	40.2	80.1	81.9	83.4	16.3	97.4	82.3	82.3	82.2	99.4
S7-1                           	93.6	62.5	89.7	52.9	95.3	100	94.7	93.1	49	1	40.2	79.8	81.3	82.7	16.2	93.9	81.3	81.3	81.2	95.1
S7-2                           	97.5	64.9	87.2	55.4	99.1	94.7	100	97.2	49	1	40	79.7	81.4	82.9	16.3	96.9	81.8	81.8	81.8	98.7
S8                             	95.7	63.8	86	54.7	97.3	93.1	97.2	100	48.2	1	39.7	78.4	80.2	81.6	16	95.3	80.4	80.4	80.3	96.9
S9-1                           	48.9	34.6	44	29.6	49.2	49	49	48.2	100	0	36.2	55	54	55	12.4	48.3	49.8	49.8	49.8	49.1
S9-2                           	1	0.9	1	0	1	1	1	1	0	100	0.3	1.1	1.1	1.1	0.8	1	1.1	1.1	1.1	1
S10                            	40	28.8	37.1	24.2	40.2	40.2	40	39.7	36.2	0.3	100	45	44.2	44.3	10.5	40	40.6	40.7	40.5	40.1
S11                            	78.7	52.9	73.6	44.1	80.1	79.8	79.7	78.4	55	1.1	45	100	89.3	89.8	17.9	78.9	81	81	81	79.8
S12                            	80.6	53	74.5	44.9	81.9	81.3	81.4	80.2	54	1.1	44.2	89.3	100	97.9	18.7	80.6	82.5	82.6	82.4	81.8
S13                            	82.1	54.3	75.7	46.3	83.4	82.7	82.9	81.6	55	1.1	44.3	89.8	97.9	100	18.7	82	84.1	84.2	84	83.3
S15                            	16.2	11.2	15.1	6.4	16.3	16.2	16.3	16	12.4	0.8	10.5	17.9	18.7	18.7	100	16.3	16.5	16.5	16.5	16.3
S18                            	95.8	63.6	86.4	54.6	97.4	93.9	96.9	95.3	48.3	1	40	78.9	80.6	82	16.3	100	81	81	80.9	97
S19                            	81	53.6	74.4	46.1	82.3	81.3	81.8	80.4	49.8	1.1	40.6	81	82.5	84.1	16.5	81	100	99.8	99.7	82
S21                            	81	53.6	74.4	46.1	82.3	81.3	81.8	80.4	49.8	1.1	40.7	81	82.6	84.2	16.5	81	99.8	100	99.7	82.1
S25                            	80.9	53.5	74.4	46.1	82.2	81.2	81.8	80.3	49.8	1.1	40.5	81	82.4	84	16.5	80.9	99.7	99.7	100	82
LaSota	97.6	64.6	87.3	55.2	99.4	95.1	98.7	96.9	49.1	1	40.1	79.8	81.8	83.3	16.3	97	82	82.1	82	100
